post_id,title,url,valid_dcv5,fallback,fallback_dcv5_view,hero,quick_strip,work_summary,sidecard,bad_fish_text,bad_cheese_text,bad_qmarks,bad_internal,result
2501,"Slovačka Klobása (Slovenská Klobása)",https://drycured.com/recepti-baza/slovacka-klobasa-slovenska-klobasa/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2503,"RIIPUTETTU HIRVENLIHA (SUHO-ZRELA JELENOVINA)",https://drycured.com/recepti-baza/riiputettu-hirvenliha-suho-zrela-jelenovina/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2504,"SAVUSIIKA (DIMLJENI SIIKA - BIJELA RIBA)",https://drycured.com/recepti-baza/savusiika-dimljeni-siika-bijela-riba/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2505,"METSOPAISTI (SUHO-SALAMURENI TETRIJEB)",https://drycured.com/recepti-baza/metsopaisti-suho-salamureni-tetrijeb/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2506,"LAMPAAN ILMAKUIVATTU KYLKI (ZRAČNO-SUŠENA JANJEĆJA PRSA)",https://drycured.com/recepti-baza/lampaan-ilmakuivattu-kylki-zracno-susena-janjecja-prsa/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2508,"SAVUPORONLIHA (DIMLJENO SOBOVO MESO)",https://drycured.com/recepti-baza/savuporonliha-dimljeno-sobovo-meso/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2510,"ILMAKUIVATTU PORONPAISTI (ZRAČNO-SUŠENI SOBOV BUT)",https://drycured.com/recepti-baza/ilmakuivattu-poronpaisti-zracno-suseni-sobov-but/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2511,"GRAAVILOHI (GRAVLAX - FINSKI MARINIRANI LOSOS)",https://drycured.com/recepti-baza/graavilohi-gravlax-finski-marinirani-losos/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2513,"LONZO CORSE",https://drycured.com/recepti-baza/lonzo-corse/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2525,"Dulse and Yellowman Bacon (Slanina s morskom travom)",https://drycured.com/recepti-baza/dulse-and-yellowman-bacon-slanina-s-morskom-travom/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
