post_id,title,url,code,country,category,process,tech_group,readiness,source_chars,has_10kg,has_sastojci,has_postupak,has_granulation_or_cut,has_casing,has_pac_salt,has_drying_smoking_maturation,has_garlic,has_errors_solutions,has_storage_serving
2097,"CHIȘCĂ (Puhana želuca s krvlju)",https://drycured.com/recepti-baza/chisca-puhana-zeluca-s-krvlju/,MD-CHI_C_PUHANA_ZELUCA_S_KRVLJU,Hrvatska,"suhomesnati proizvod",,OTHER_MEAT_REVIEW,NEEDS_GROUP_REVIEW,3895,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2100,"Miholjačka Začinska Salama",https://drycured.com/recepti-baza/miholjacka-zacinska-salama/,MD-MIHOLJACKA_ZACINSKA_SALAMA,Hrvatska,"suha salama","dimljenje + sušenje",SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,3963,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2101,"Vinkovački Slavonski Kulen - Stara obiteljska receptura",https://drycured.com/recepti-baza/vinkovacki-slavonski-kulen-stara-obiteljska-receptura/,MD-VINKOVACKI_SLAVONSKI_KULEN_STARA_OBITELJSKA_RECEPTURA,Hrvatska,"Kulen | trajna fermentirana kobasica","dimljenje + sušenje",SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,4105,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2102,"Slovačka slanina (Slovenská slanina)",https://drycured.com/recepti-baza/slovacka-slanina-slovenska-slanina/,MD-SLOVACKA_SLANINA_SLOVENSKA_SLANINA,Slovačka,"Sušeni dimljeni cijeli komad","dimljenje + sušenje + soljenje/salamurenje",BACON_FAT,AUTO_DCV5_CANDIDATE_WHOLE_CUT,3485,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2103,"Kranjska klobasa (Kranjska kobasica)",https://drycured.com/recepti-baza/kranjska-klobasa-kranjska-kobasica/,MD-KRANJSKA_KLOBASA_KRANJSKA_KOBASICA,Slovenija,"Suha kobasica","mljevenje + punjenje + toplinska obrada/dimljenje prema specifikaciji",SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,4072,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2104,"Kraški pršut",https://drycured.com/recepti-baza/kraski-prsut/,MD-KRASKI_PRSUT,Slovenija,"Pršut | sušena šunka","suho soljenje + sušenje + zrenje",HAM_PROSCIUTTO,AUTO_DCV5_CANDIDATE_WHOLE_CUT,3270,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2106,"Gorenjska zaseka",https://drycured.com/recepti-baza/gorenjska-zaseka/,MD-GORENJSKA_ZASEKA,Hrvatska,"Sušeni dimljeni cijeli komad",zrenje,OTHER_MEAT_REVIEW,NEEDS_GROUP_REVIEW,3534,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2107,"Vipavska panceta",https://drycured.com/recepti-baza/vipavska-panceta/,MD-VIPAVSKA_PANCETA,Slovenija,"Sušeni dimljeni cijeli komad","dimljenje + sušenje + zrenje + soljenje/salamurenje",BACON_FAT,AUTO_DCV5_CANDIDATE_WHOLE_CUT,3704,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2108,"Tolminska salama",https://drycured.com/recepti-baza/tolminska-salama/,MD-TOLMINSKA_SALAMA,Hrvatska,"suha salama","fermentacija + dimljenje + sušenje + zrenje",SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,4277,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2110,"Crnogorska Slanina (Durmitorska panćeta)",https://drycured.com/recepti-baza/crnogorska-slanina-durmitorska-panceta/,MD-CRNOGORSKA_SLANINA_DURMITORSKA_PANCETA,"Crna Gora","Sušeni dimljeni cijeli komad","dimljenje + sušenje",BACON_FAT,AUTO_DCV5_CANDIDATE_WHOLE_CUT,3320,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
