source	slug	source_bytes	web_bytes	thumb_bytes	source_dimensions	web_dimensions	thumb_dimensions	web	thumb
"ChatGPT Image 20. svi 2026. 16_40_10.png"	chatgpt-image-20-svi-2026-16-40-10	2382731	197320	29026	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-20-svi-2026-16-40-10.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-20-svi-2026-16-40-10.webp
"ChatGPT Image 20. svi 2026. 17_15_57.png"	chatgpt-image-20-svi-2026-17-15-57	2328107	256862	37502	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-20-svi-2026-17-15-57.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-20-svi-2026-17-15-57.webp
"ChatGPT Image 19. svi 2026. 16_35_00.png"	chatgpt-image-19-svi-2026-16-35-00	2494937	253154	39552	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-16-35-00.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-16-35-00.webp
"ChatGPT Image 19. svi 2026. 20_13_59.png"	chatgpt-image-19-svi-2026-20-13-59	2116461	245836	36690	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-20-13-59.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-20-13-59.webp
"ChatGPT Image 19. svi 2026. 18_07_33.png"	chatgpt-image-19-svi-2026-18-07-33	2081966	247068	38100	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-18-07-33.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-18-07-33.webp
"ChatGPT Image 19. svi 2026. 20_48_01.png"	chatgpt-image-19-svi-2026-20-48-01	2184542	254274	39204	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-20-48-01.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-20-48-01.webp
"ChatGPT Image 20. svi 2026. 16_40_26.png"	chatgpt-image-20-svi-2026-16-40-26	2197864	216408	38410	1448x1086	1448x1086	520x390	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-20-svi-2026-16-40-26.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-20-svi-2026-16-40-26.webp
"ChatGPT Image 19. svi 2026. 20_21_00.png"	chatgpt-image-19-svi-2026-20-21-00	2119616	250536	37920	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-20-21-00.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-20-21-00.webp
"ChatGPT Image 19. svi 2026. 16_00_16.png"	chatgpt-image-19-svi-2026-16-00-16	2277135	241550	37438	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-16-00-16.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-16-00-16.webp
"ChatGPT Image 19. svi 2026. 20_45_04.png"	chatgpt-image-19-svi-2026-20-45-04	2169471	248164	37762	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-20-45-04.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-20-45-04.webp
