post_type	ID	post_title	post_name	title_status	description_status
dry_recipe	2466	Kvarnerski Divovski Salamet	kvarnerski-divovski-salamet	MISSING_TITLE	MISSING_DESC
dry_recipe	2468	Lincolnshire kobasica	lincolnshire-kobasica	MISSING_TITLE	MISSING_DESC
dry_recipe	2469	Haslet (tradicionalna engleska pašteta od svinjskih iznutrica)	haslet-tradicionalna-engleska-pasteta-od-svinjskih-iznutrica	MISSING_TITLE	MISSING_DESC
dry_recipe	2470	Bath Chaps (ukiseljene svinjske obrazine)	bath-chaps-ukiseljene-svinjske-obrazine	MISSING_TITLE	MISSING_DESC
dry_recipe	2471	Potted Beef (konzervirano goveđe meso)	potted-beef-konzervirano-govede-meso	MISSING_TITLE	MISSING_DESC
dry_recipe	2472	Oxford Brawn (hladetina od svinjske glave)	oxford-brawn-hladetina-od-svinjske-glave	MISSING_TITLE	MISSING_DESC
dry_recipe	2474	Tradicionalna engleska šunka (Wiltshire Ham)	tradicionalna-engleska-sunka-wiltshire-ham	MISSING_TITLE	MISSING_DESC
dry_recipe	2475	Engleski sušeni goveđi jezik (Potted Ox Tongue)	engleski-suseni-govedi-jezik-potted-ox-tongue	MISSING_TITLE	MISSING_DESC
dry_recipe	2476	Engleski pork pie (svinjetina u tijestu)	engleski-pork-pie-svinjetina-u-tijestu	MISSING_TITLE	MISSING_DESC
dry_recipe	2477	Sült (Hladetina od svinjskog mesa)	sult-hladetina-od-svinjskog-mesa	MISSING_TITLE	MISSING_DESC
dry_recipe	2478	Suitsink (Dimljena svinjska šunka)	suitsink-dimljena-svinjska-sunka	MISSING_TITLE	MISSING_DESC
dry_recipe	2479	Verikäkk (Krvavica s ječmom)	verikakk-krvavica-s-jecmom	MISSING_TITLE	MISSING_DESC
dry_recipe	2480	Talleliha (Polutrajno sušena govedina)	talleliha-polutrajno-susena-govedina	MISSING_TITLE	MISSING_DESC
dry_recipe	2481	Sealiha õlis (Svinjsko meso u ulju)	sealiha-olis-svinjsko-meso-u-ulju	MISSING_TITLE	MISSING_DESC
dry_recipe	2482	?? Grčki tradicionalni recept - Loukaniko	%f0%9f%87%ac%f0%9f%87%b7-grcki-tradicionalni-recept-loukaniko	MISSING_TITLE	MISSING_DESC
dry_recipe	2483	?? Albanski recept - Salçe	%f0%9f%87%a6%f0%9f%87%b1-albanski-recept-salce	MISSING_TITLE	MISSING_DESC
dry_recipe	2484	?? Nizozemski recept - Droge Worst	%f0%9f%87%b3%f0%9f%87%b1-nizozemski-recept-droge-worst	MISSING_TITLE	MISSING_DESC
dry_recipe	2485	?? Britanski recept - Cumberland Sausage	%f0%9f%87%ac%f0%9f%87%a7-britanski-recept-cumberland-sausage	MISSING_TITLE	MISSING_DESC
dry_recipe	2486	?? Bugarski recept - Lukanka	%f0%9f%87%a7%f0%9f%87%ac-bugarski-recept-lukanka	MISSING_TITLE	MISSING_DESC
dry_recipe	2487	?? Rumunjski recept - Salam de Sibiu	%f0%9f%87%b7%f0%9f%87%b4-rumunjski-recept-salam-de-sibiu	MISSING_TITLE	MISSING_DESC
dry_recipe	2488	?? Češki recept - Lovecká Salám	%f0%9f%87%a8%f0%9f%87%bf-ceski-recept-lovecka-salam	MISSING_TITLE	MISSING_DESC
dry_recipe	2489	?? Slovački recept - Turistická Saláma	%f0%9f%87%b8%f0%9f%87%b0-slovacki-recept-turisticka-salama	MISSING_TITLE	MISSING_DESC
dry_recipe	2490	?? Poljski recept - Kiełbasa	%f0%9f%87%b5%f0%9f%87%b1-poljski-recept-kielbasa	MISSING_TITLE	MISSING_DESC
dry_recipe	2491	?? Ukrajinski recept - Kobasa	%f0%9f%87%ba%f0%9f%87%a6-ukrajinski-recept-kobasa	MISSING_TITLE	MISSING_DESC
dry_recipe	2492	?? Švedski recept - Tunnbrödsrulle	%f0%9f%87%b8%f0%9f%87%aa-svedski-recept-tunnbrodsrulle	MISSING_TITLE	MISSING_DESC
dry_recipe	2493	?? Latvijski recept - Mājas Desa	%f0%9f%87%b1%f0%9f%87%bb-latvijski-recept-majas-desa	MISSING_TITLE	MISSING_DESC
dry_recipe	2495	?? Talijansko-toskanski recept za salamu (Salame Toscano)	%f0%9f%87%ae%f0%9f%87%b9-talijansko-toskanski-recept-za-salamu-salame-toscano	MISSING_TITLE	MISSING_DESC
dry_recipe	2496	?? Tradicionalni recept za saucisson sec	%f0%9f%87%ab%f0%9f%87%b7-tradicionalni-recept-za-saucisson-sec	MISSING_TITLE	MISSING_DESC
dry_recipe	2497	?? Portugalski recept za Linguiçu	%f0%9f%87%b5%f0%9f%87%b9-portugalski-recept-za-linguicu	MISSING_TITLE	MISSING_DESC
dry_recipe	2498	?? Austrijski recept za Kmetzelsuppe kobasicu	%f0%9f%87%a6%f0%9f%87%b9-austrijski-recept-za-kmetzelsuppe-kobasicu	MISSING_TITLE	MISSING_DESC
dry_recipe	2500	Poljska Kiełbasa Lisiecka (Lisiecka Kobasica)	poljska-kielbasa-lisiecka-lisiecka-kobasica	MISSING_TITLE	MISSING_DESC
dry_recipe	2501	Slovačka Klobása (Slovenská Klobása)	slovacka-klobasa-slovenska-klobasa	MISSING_TITLE	MISSING_DESC
dry_recipe	2502	JOULUKINKKU (BOŽIĆNA ŠUNKA)	joulukinkku-bozicna-sunka	MISSING_TITLE	MISSING_DESC
dry_recipe	2503	RIIPUTETTU HIRVENLIHA (SUHO-ZRELA JELENOVINA)	riiputettu-hirvenliha-suho-zrela-jelenovina	MISSING_TITLE	MISSING_DESC
dry_recipe	2504	SAVUSIIKA (DIMLJENI SIIKA - BIJELA RIBA)	savusiika-dimljeni-siika-bijela-riba	MISSING_TITLE	MISSING_DESC
dry_recipe	2505	METSOPAISTI (SUHO-SALAMURENI TETRIJEB)	metsopaisti-suho-salamureni-tetrijeb	MISSING_TITLE	MISSING_DESC
dry_recipe	2506	LAMPAAN ILMAKUIVATTU KYLKI (ZRAČNO-SUŠENA JANJEĆJA PRSA)	lampaan-ilmakuivattu-kylki-zracno-susena-janjecja-prsa	MISSING_TITLE	MISSING_DESC
