ID,post_title,post_name,url,http_code,html_forbidden_count,html_forbidden_terms,has_granulation_mm_html,has_casing_html,has_garlic_html
2501,Slovačka Klobása (Slovenská Klobása),slovacka-klobasa-slovenska-klobasa,https://drycured.com/recepti-baza/slovacka-klobasa-slovenska-klobasa/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2503,RIIPUTETTU HIRVENLIHA (SUHO-ZRELA JELENOVINA),riiputettu-hirvenliha-suho-zrela-jelenovina,https://drycured.com/recepti-baza/riiputettu-hirvenliha-suho-zrela-jelenovina/,200,63,hladna masa; fallback; radni recept,1,1,1
2504,SAVUSIIKA (DIMLJENI SIIKA &#8211; BIJELA RIBA),savusiika-dimljeni-siika-bijela-riba,https://drycured.com/recepti-baza/savusiika-dimljeni-siika-bijela-riba/,200,63,hladna masa; fallback; radni recept,1,1,1
2505,METSOPAISTI (SUHO-SALAMURENI TETRIJEB),metsopaisti-suho-salamureni-tetrijeb,https://drycured.com/recepti-baza/metsopaisti-suho-salamureni-tetrijeb/,200,69,prema receptu; hladna masa; fallback; radni recept,1,1,1
2506,LAMPAAN ILMAKUIVATTU KYLKI (ZRAČNO-SUŠENA JANJEĆJA PRSA),lampaan-ilmakuivattu-kylki-zracno-susena-janjecja-prsa,https://drycured.com/recepti-baza/lampaan-ilmakuivattu-kylki-zracno-susena-janjecja-prsa/,200,63,hladna masa; fallback; radni recept,1,1,1
2508,SAVUPORONLIHA (DIMLJENO SOBOVO MESO),savuporonliha-dimljeno-sobovo-meso,https://drycured.com/recepti-baza/savuporonliha-dimljeno-sobovo-meso/,200,63,hladna masa; fallback; radni recept,1,1,1
2510,ILMAKUIVATTU PORONPAISTI (ZRAČNO-SUŠENI SOBOV BUT),ilmakuivattu-poronpaisti-zracno-suseni-sobov-but,https://drycured.com/recepti-baza/ilmakuivattu-poronpaisti-zracno-suseni-sobov-but/,200,63,hladna masa; fallback; radni recept,1,1,1
2511,GRAAVILOHI (GRAVLAX &#8211; FINSKI MARINIRANI LOSOS),graavilohi-gravlax-finski-marinirani-losos,https://drycured.com/recepti-baza/graavilohi-gravlax-finski-marinirani-losos/,200,63,hladna masa; fallback; radni recept,1,1,1
2513,LONZO CORSE,lonzo-corse,https://drycured.com/recepti-baza/lonzo-corse/,200,63,hladna masa; fallback; radni recept,1,1,1
2525,Dulse and Yellowman Bacon (Slanina s morskom travom),dulse-and-yellowman-bacon-slanina-s-morskom-travom,https://drycured.com/recepti-baza/dulse-and-yellowman-bacon-slanina-s-morskom-travom/,200,63,hladna masa; fallback; radni recept,1,1,1
2526,Caillín Báin (Bieli spek &#8211; Irska verzija slanine sa začinima),caillin-bain-bieli-spek-irska-verzija-slanine-sa-zacinima,https://drycured.com/recepti-baza/caillin-bain-bieli-spek-irska-verzija-slanine-sa-zacinima/,200,63,hladna masa; fallback; radni recept,1,1,1
2527,Marrowbone Roll (Rolana kobasica s koštanom srži),marrowbone-roll-rolana-kobasica-s-kostanom-srzi,https://drycured.com/recepti-baza/marrowbone-roll-rolana-kobasica-s-kostanom-srzi/,200,68,prema receptu; hladna masa; fallback; radni recept,1,1,1
2529,Irski soljena govedina (Corned Beef),irski-soljena-govedina-corned-beef,https://drycured.com/recepti-baza/irski-soljena-govedina-corned-beef/,200,63,hladna masa; fallback; radni recept,1,1,1
