ID,post_title,post_name,post_status,permalink,meta_key_count,has_full_markdown,has_sections,has_verified_process,has_recipe_data,has_any_json_data,has_casing_terms,has_granulation_terms,has_garlic_terms,has_process_terms,forbidden_meta_count,forbidden_meta_terms,contract_readiness,contract_gap,public_risk
2022,Recepti za salame i suhomesnate proizvode iz europskih zemalja,recepti-za-salame-i-suhomesnate-proizvode-iz-europskih-zemalja,draft,https://drycured.com/?post_type=dry_recipe&p=2022,4,0,0,0,1,0,0,0,0,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,MEDIUM,NOT_PUBLIC_OR_PREVIEW
2023,?? Grčki tradicionalni recept &#8211; Loukaniko,grcki-tradicionalni-recept-loukaniko,publish,https://drycured.com/recepti-baza/grcki-tradicionalni-recept-loukaniko/,13,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
2024,Slovački recept &#8211; Turistická Saláma,slovacki-recept-turisticka-salama,draft,https://drycured.com/?post_type=dry_recipe&p=2024,4,0,0,0,1,0,0,0,0,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,MEDIUM,NOT_PUBLIC_OR_PREVIEW
2025,Recepti za salame i suhomesnate proizvode iz evropskih zemalja,recepti-za-salame-i-suhomesnate-proizvode-iz-evropskih-zemalja,draft,https://drycured.com/?post_type=dry_recipe&p=2025,4,0,0,0,1,0,0,0,0,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,MEDIUM,NOT_PUBLIC_OR_PREVIEW
2026,?? Španjolski recept za chorizo,spanjolski-recept-za-chorizo,publish,https://drycured.com/recepti-baza/spanjolski-recept-za-chorizo/,13,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
2027,Nemački recept za Mettwurst,nemacki-recept-za-mettwurst,draft,https://drycured.com/?post_type=dry_recipe&p=2027,4,0,0,0,1,0,0,0,0,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,MEDIUM,NOT_PUBLIC_OR_PREVIEW
2028,Češki Špekáček (Špek Kobasica),ceski-spekacek-spek-kobasica,publish,https://drycured.com/recepti-baza/ceski-spekacek-spek-kobasica/,13,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
2029,JAMBON DE BAYONNE,jambon-de-bayonne,publish,https://drycured.com/recepti-baza/jambon-de-bayonne/,13,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
2030,Saucisson Sec (Suha kobasica),saucisson-sec-suha-kobasica,draft,https://drycured.com/?post_type=dry_recipe&p=2030,4,0,0,0,1,0,1,1,0,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
2031,RILLETTES DU MANS,rillettes-du-mans,draft,https://drycured.com/?post_type=dry_recipe&p=2031,4,0,0,0,1,0,0,0,1,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,MEDIUM,NOT_PUBLIC_OR_PREVIEW
2032,Coppa (Kapula),coppa-kapula,publish,https://drycured.com/recepti-baza/coppa-kapula/,13,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
2033,Andouille de Guémené,andouille-de-guemene,publish,https://drycured.com/recepti-baza/andouille-de-guemene/,13,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
2034,JÉSUS DE LYON,jesus-de-lyon,draft,https://drycured.com/?post_type=dry_recipe&p=2034,4,0,0,0,1,0,0,1,1,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,MEDIUM,NOT_PUBLIC_OR_PREVIEW
2035,Privatno: Tradicionalna irska krvavica (Black Pudding),tradicionalna-irska-krvavica-black-pudding,private,https://drycured.com/?post_type=dry_recipe&p=2035,11,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
2036,Privatno: Irska bijela krvavica (White Pudding),irska-bijela-krvavica-white-pudding,private,https://drycured.com/?post_type=dry_recipe&p=2036,11,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
2037,Hangikjöt (Dimljeni janjeti but),hangikjot-dimljeni-janjeti-but,publish,https://drycured.com/recepti-baza/hangikjot-dimljeni-janjeti-but/,13,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
2038,Heilhornað Hangikjöt (Sušena janjeća rebra),heilhornad-hangikjot-susena-janjeca-rebra,draft,https://drycured.com/?post_type=dry_recipe&p=2038,4,0,0,0,1,0,0,0,0,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,MEDIUM,NOT_PUBLIC_OR_PREVIEW
2039,Ukrajinska Domashnia Kovbasa (Domaća Kobasica),ukrajinska-domashnia-kovbasa-domaca-kobasica,publish,https://drycured.com/recepti-baza/ukrajinska-domashnia-kovbasa-domaca-kobasica/,13,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
2040,Mađarski Pick Salami (Pick Szalámi),madarski-pick-salami-pick-szalami,draft,https://drycured.com/?post_type=dry_recipe&p=2040,4,0,0,0,1,0,1,1,1,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
2041,Mađarska Slanina (Szalonna),madarska-slanina-szalonna,draft,https://drycured.com/?post_type=dry_recipe&p=2041,4,0,0,0,1,0,0,0,1,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,MEDIUM,NOT_PUBLIC_OR_PREVIEW
2042,BALMOȘ CU SLANINĂ (PALENTA SA SLANINOM),balmos-cu-slanina-palenta-sa-slaninom,publish,https://drycured.com/recepti-baza/balmos-cu-slanina-palenta-sa-slaninom/,13,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
2043,PFÄLZER SAUMAGEN (FALAČKA SVINJSKA ŽELUDAC-KOBASICA),pfalzer-saumagen-falacka-svinjska-zeludac-kobasica,publish,https://drycured.com/recepti-baza/pfalzer-saumagen-falacka-svinjska-zeludac-kobasica/,13,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
2044,Privatno: NÜRNBERGER BRATWURST (NIRNBERŠKA KOBASICA ZA PEČENJE),nurnberger-bratwurst-nirnberska-kobasica-za-pecenje,private,https://drycured.com/?post_type=dry_recipe&p=2044,11,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
2045,Privatno: Salata sa Schinkenspeck kobasicama,salata-sa-schinkenspeck-kobasicama,private,https://drycured.com/?post_type=dry_recipe&p=2045,11,1,0,0,1,0,1,1,1,1,3,prema receptu,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
2046,Privatno: Rinderbeiried sendvič,rinderbeiried-sendvic,private,https://drycured.com/?post_type=dry_recipe&p=2046,11,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
2047,Domaći Bratwurst,domaci-bratwurst,publish,https://drycured.com/recepti-baza/domaci-bratwurst/,13,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
2048,Privatno: Domaći Leberwurst (Pašteta od jetre),domaci-leberwurst-pasteta-od-jetre,private,https://drycured.com/?post_type=dry_recipe&p=2048,11,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
2049,Hausmacher Mettwurst (Domaća dimljena kobasica za mazanje),hausmacher-mettwurst-domaca-dimljena-kobasica-za-mazanje,publish,https://drycured.com/recepti-baza/hausmacher-mettwurst-domaca-dimljena-kobasica-za-mazanje/,13,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
2050,Secallona &#8211; Tradicionalna Katalonska Sušena Slanina,secallona-tradicionalna-katalonska-susena-slanina,draft,https://drycured.com/?post_type=dry_recipe&p=2050,4,0,0,0,1,0,1,1,1,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
2051,ŠKOTSKI LORNE SAUSAGE (ČETVRTASTI KOBASIČASTI ODREZAK),skotski-lorne-sausage-cetvrtasti-kobasicasti-odrezak,publish,https://drycured.com/recepti-baza/skotski-lorne-sausage-cetvrtasti-kobasicasti-odrezak/,13,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
2052,Jamón Ibérico de Bellota &#8211; Iberijski Pršut od Žira,jamon-iberico-de-bellota-iberijski-prsut-od-zira,publish,https://drycured.com/recepti-baza/jamon-iberico-de-bellota-iberijski-prsut-od-zira/,13,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
2053,Chorizo de Pamplona &#8211; Čorizo iz Pamplone,chorizo-de-pamplona-corizo-iz-pamplone,publish,https://drycured.com/recepti-baza/chorizo-de-pamplona-corizo-iz-pamplone/,13,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
2054,Sobrasada Mallorquina &#8211; Majorška Sobrasada,sobrasada-mallorquina-majorska-sobrasada,draft,https://drycured.com/?post_type=dry_recipe&p=2054,4,0,0,0,1,0,1,1,1,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
2055,Coppa Piacentina &#8211; Piacentinska Coppa,coppa-piacentina-piacentinska-coppa,publish,https://drycured.com/recepti-baza/coppa-piacentina-piacentinska-coppa/,13,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
